date,day_of_week,shift,hour,hours_into_shift,station,headcount,units_processed,uph,target_uph,downtime_minutes,pod_starvation_event,peak_period
2026-03-01,Sunday,Day,8,0,Stow,9,1960,217.8,180,2.6,0,0
2026-03-01,Sunday,Day,8,0,Pick,8,2006,250.8,240,1.4,0,0
2026-03-01,Sunday,Day,8,0,Rebin,11,3790,344.5,300,0.0,0,0
2026-03-01,Sunday,Day,8,0,Pack-Singles,13,3310,254.6,210,1.3,0,0
2026-03-01,Sunday,Day,8,0,Pack-Multis,14,2327,166.2,140,0.0,0,0
2026-03-01,Sunday,Day,8,0,SLAM,12,11586,965.5,900,2.5,0,0
2026-03-01,Sunday,Day,9,1,Stow,11,2247,204.3,180,0.2,0,0
2026-03-01,Sunday,Day,9,1,Pick,14,3822,273.0,240,0.6,0,0
2026-03-01,Sunday,Day,9,1,Rebin,11,3936,357.8,300,1.7,0,0
2026-03-01,Sunday,Day,9,1,Pack-Singles,12,2985,248.8,210,4.4,0,0
2026-03-01,Sunday,Day,9,1,Pack-Multis,11,1707,155.2,140,0.0,0,0
2026-03-01,Sunday,Day,9,1,SLAM,13,14518,1116.8,900,1.0,0,0
2026-03-01,Sunday,Day,10,2,Stow,10,1950,195.0,180,2.2,0,0
2026-03-01,Sunday,Day,10,2,Pick,13,3724,286.5,240,0.2,0,0
2026-03-01,Sunday,Day,10,2,Rebin,12,4173,347.8,300,1.5,0,0
2026-03-01,Sunday,Day,10,2,Pack-Singles,13,3188,245.2,210,2.2,0,0
2026-03-01,Sunday,Day,10,2,Pack-Multis,12,1971,164.2,140,2.1,0,0
2026-03-01,Sunday,Day,10,2,SLAM,9,9106,1011.8,900,0.5,0,0
2026-03-01,Sunday,Day,11,3,Stow,10,2030,203.0,180,3.4,0,0
2026-03-01,Sunday,Day,11,3,Pick,10,2947,294.7,240,0.0,0,0
2026-03-01,Sunday,Day,11,3,Rebin,11,3838,348.9,300,2.1,0,0
2026-03-01,Sunday,Day,11,3,Pack-Singles,13,3313,254.8,210,0.7,0,0
2026-03-01,Sunday,Day,11,3,Pack-Multis,11,1877,170.6,140,0.9,0,0
2026-03-01,Sunday,Day,11,3,SLAM,9,8576,952.9,900,0.0,0,0
2026-03-01,Sunday,Day,12,4,Stow,12,2508,209.0,180,2.2,0,0
2026-03-01,Sunday,Day,12,4,Pick,11,3069,279.0,240,2.1,0,0
2026-03-01,Sunday,Day,12,4,Rebin,11,3916,356.0,300,0.2,0,0
2026-03-01,Sunday,Day,12,4,Pack-Singles,11,2585,235.0,210,0.0,0,0
2026-03-01,Sunday,Day,12,4,Pack-Multis,12,1868,155.7,140,1.2,0,0
2026-03-01,Sunday,Day,12,4,SLAM,12,12808,1067.3,900,2.2,0,0
2026-03-01,Sunday,Day,13,5,Stow,11,2209,200.8,180,1.1,0,0
2026-03-01,Sunday,Day,13,5,Pick,8,1984,248.0,240,0.0,0,0
2026-03-01,Sunday,Day,13,5,Rebin,10,3546,354.6,300,0.0,0,0
2026-03-01,Sunday,Day,13,5,Pack-Singles,11,2898,263.5,210,0.7,0,0
2026-03-01,Sunday,Day,13,5,Pack-Multis,13,1956,150.5,140,0.9,0,0
2026-03-01,Sunday,Day,13,5,SLAM,10,10104,1010.4,900,2.5,0,0
2026-03-01,Sunday,Day,14,6,Stow,8,1706,213.2,180,1.6,0,0
2026-03-01,Sunday,Day,14,6,Pick,10,2480,248.0,240,1.3,0,0
2026-03-01,Sunday,Day,14,6,Rebin,10,3506,350.6,300,1.2,0,0
2026-03-01,Sunday,Day,14,6,Pack-Singles,15,3561,237.4,210,0.0,0,0
2026-03-01,Sunday,Day,14,6,Pack-Multis,12,1961,163.4,140,3.2,0,0
2026-03-01,Sunday,Day,14,6,SLAM,13,13791,1060.8,900,3.4,0,0
2026-03-01,Sunday,Day,15,7,Stow,9,1743,193.7,180,0.0,0,0
2026-03-01,Sunday,Day,15,7,Pick,11,2688,244.4,240,2.2,0,0
2026-03-01,Sunday,Day,15,7,Rebin,11,3336,303.3,300,0.0,0,0
2026-03-01,Sunday,Day,15,7,Pack-Singles,12,3006,250.5,210,4.2,0,0
2026-03-01,Sunday,Day,15,7,Pack-Multis,17,2760,162.4,140,0.0,0,0
2026-03-01,Sunday,Day,15,7,SLAM,7,7233,1033.3,900,0.0,0,0
2026-03-01,Sunday,Day,16,8,Stow,11,2092,190.2,180,1.0,0,0
2026-03-01,Sunday,Day,16,8,Pick,14,3750,267.9,240,1.0,0,0
2026-03-01,Sunday,Day,16,8,Rebin,9,2631,292.3,300,0.5,0,0
2026-03-01,Sunday,Day,16,8,Pack-Singles,11,2865,260.5,210,1.4,0,0
2026-03-01,Sunday,Day,16,8,Pack-Multis,13,1939,149.2,140,0.0,0,0
2026-03-01,Sunday,Day,16,8,SLAM,10,9431,943.1,900,4.4,0,0
2026-03-01,Sunday,Day,17,9,Stow,10,2060,206.0,180,0.0,0,0
2026-03-01,Sunday,Day,17,9,Pick,13,3463,266.4,240,1.0,0,0
2026-03-01,Sunday,Day,17,9,Rebin,11,3403,309.4,300,1.9,0,0
2026-03-01,Sunday,Day,17,9,Pack-Singles,11,2282,207.5,210,0.0,0,0
2026-03-01,Sunday,Day,17,9,Pack-Multis,12,2016,168.0,140,1.4,0,0
2026-03-01,Sunday,Day,17,9,SLAM,11,10916,992.4,900,3.2,0,0
2026-03-01,Sunday,Night,19,0,Stow,11,2281,207.4,180,1.8,0,0
2026-03-01,Sunday,Night,19,0,Pick,15,3899,259.9,240,0.0,0,0
2026-03-01,Sunday,Night,19,0,Rebin,9,3221,357.9,300,3.8,0,0
2026-03-01,Sunday,Night,19,0,Pack-Singles,11,2404,218.5,210,3.4,0,0
2026-03-01,Sunday,Night,19,0,Pack-Multis,9,1263,140.3,140,2.2,0,0
2026-03-01,Sunday,Night,19,0,SLAM,11,10584,962.2,900,1.0,0,0
2026-03-01,Sunday,Night,20,1,Stow,12,2537,211.4,180,1.3,0,0
2026-03-01,Sunday,Night,20,1,Pick,13,2857,219.8,240,1.1,0,0
2026-03-01,Sunday,Night,20,1,Rebin,10,2934,293.4,300,0.0,0,0
2026-03-01,Sunday,Night,20,1,Pack-Singles,11,2628,238.9,210,0.0,0,0
2026-03-01,Sunday,Night,20,1,Pack-Multis,12,1735,144.6,140,0.7,0,0
2026-03-01,Sunday,Night,20,1,SLAM,14,13983,998.8,900,3.2,0,0
2026-03-01,Sunday,Night,21,2,Stow,11,2014,183.1,180,0.9,0,0
2026-03-01,Sunday,Night,21,2,Pick,12,3118,259.8,240,0.0,0,0
2026-03-01,Sunday,Night,21,2,Rebin,12,3911,325.9,300,5.0,0,0
2026-03-01,Sunday,Night,21,2,Pack-Singles,15,3167,211.1,210,0.8,0,0
2026-03-01,Sunday,Night,21,2,Pack-Multis,9,1291,143.4,140,1.7,0,0
2026-03-01,Sunday,Night,21,2,SLAM,14,12787,913.4,900,0.2,0,0
2026-03-01,Sunday,Night,22,3,Stow,7,1332,190.3,180,0.0,0,0
2026-03-01,Sunday,Night,22,3,Pick,10,2409,240.9,240,1.1,0,0
2026-03-01,Sunday,Night,22,3,Rebin,8,2303,287.9,300,4.4,0,0
2026-03-01,Sunday,Night,22,3,Pack-Singles,9,1866,207.3,210,4.0,0,0
2026-03-01,Sunday,Night,22,3,Pack-Multis,17,2336,137.4,140,0.6,0,0
2026-03-01,Sunday,Night,22,3,SLAM,12,12948,1079.0,900,0.0,0,0
2026-03-01,Sunday,Night,23,4,Stow,11,2232,202.9,180,1.9,0,0
2026-03-01,Sunday,Night,23,4,Pick,11,2797,254.3,240,0.0,0,0
2026-03-01,Sunday,Night,23,4,Rebin,11,3463,314.8,300,1.5,0,0
2026-03-01,Sunday,Night,23,4,Pack-Singles,10,2320,232.0,210,2.7,0,0
2026-03-01,Sunday,Night,23,4,Pack-Multis,12,1841,153.4,140,1.3,0,0
2026-03-01,Sunday,Night,23,4,SLAM,12,10967,913.9,900,1.7,0,0
2026-03-01,Sunday,Night,0,5,Stow,11,2427,220.6,180,3.6,0,0
2026-03-01,Sunday,Night,0,5,Pick,12,2915,242.9,240,0.0,0,0
2026-03-01,Sunday,Night,0,5,Rebin,14,4574,326.7,300,1.9,0,0
2026-03-01,Sunday,Night,0,5,Pack-Singles,8,1913,239.1,210,1.9,0,0
2026-03-01,Sunday,Night,0,5,Pack-Multis,9,1303,144.8,140,1.6,0,0
2026-03-01,Sunday,Night,0,5,SLAM,12,11314,942.8,900,1.0,0,0
2026-03-01,Sunday,Night,1,6,Stow,11,2140,194.5,180,3.4,0,0
2026-03-01,Sunday,Night,1,6,Pick,6,1514,252.3,240,1.5,0,0
2026-03-01,Sunday,Night,1,6,Rebin,12,3749,312.4,300,0.0,0,0
2026-03-01,Sunday,Night,1,6,Pack-Singles,12,3021,251.8,210,0.0,0,0
2026-03-01,Sunday,Night,1,6,Pack-Multis,13,1901,146.2,140,1.1,0,0
2026-03-01,Sunday,Night,1,6,SLAM,9,8460,940.0,900,3.2,0,0
2026-03-01,Sunday,Night,2,7,Stow,13,2749,211.5,180,3.0,0,0
2026-03-01,Sunday,Night,2,7,Pick,12,3387,282.2,240,1.9,0,0
2026-03-01,Sunday,Night,2,7,Rebin,13,4002,307.8,300,1.3,0,0
2026-03-01,Sunday,Night,2,7,Pack-Singles,10,2353,235.3,210,0.0,0,0
2026-03-01,Sunday,Night,2,7,Pack-Multis,13,1882,144.8,140,3.0,0,0
2026-03-01,Sunday,Night,2,7,SLAM,13,13825,1063.5,900,2.3,0,0
2026-03-01,Sunday,Night,3,8,Stow,8,1471,183.9,180,0.0,0,0
2026-03-01,Sunday,Night,3,8,Pick,10,2724,272.4,240,2.2,0,0
2026-03-01,Sunday,Night,3,8,Rebin,10,2861,286.1,300,1.2,0,0
2026-03-01,Sunday,Night,3,8,Pack-Singles,9,1849,205.4,210,1.7,0,0
2026-03-01,Sunday,Night,3,8,Pack-Multis,14,2098,149.9,140,0.0,0,0
2026-03-01,Sunday,Night,3,8,SLAM,12,11144,928.7,900,1.8,0,0
2026-03-01,Sunday,Night,4,9,Stow,15,2322,154.8,180,0.3,0,0
2026-03-01,Sunday,Night,4,9,Pick,13,2789,214.5,240,3.4,0,0
2026-03-01,Sunday,Night,4,9,Rebin,12,3833,319.4,300,0.3,0,0
2026-03-01,Sunday,Night,4,9,Pack-Singles,13,2949,226.8,210,1.5,0,0
2026-03-01,Sunday,Night,4,9,Pack-Multis,12,1720,143.3,140,0.0,0,0
2026-03-01,Sunday,Night,4,9,SLAM,11,9846,895.1,900,1.8,0,0
2026-03-02,Monday,Day,8,0,Stow,9,1605,178.3,180,3.4,0,0
2026-03-02,Monday,Day,8,0,Pick,10,2261,226.1,240,1.5,0,0
2026-03-02,Monday,Day,8,0,Rebin,13,3903,300.2,300,3.2,0,0
2026-03-02,Monday,Day,8,0,Pack-Singles,13,2890,222.3,210,2.0,0,0
2026-03-02,Monday,Day,8,0,Pack-Multis,16,2207,137.9,140,0.0,0,0
2026-03-02,Monday,Day,8,0,SLAM,15,13067,871.1,900,1.4,0,0
2026-03-02,Monday,Day,9,1,Stow,14,2237,159.8,180,0.0,0,0
2026-03-02,Monday,Day,9,1,Pick,8,1813,226.6,240,1.9,0,0
2026-03-02,Monday,Day,9,1,Rebin,13,3975,305.8,300,0.0,0,0
2026-03-02,Monday,Day,9,1,Pack-Singles,7,1475,210.7,210,0.5,0,0
2026-03-02,Monday,Day,9,1,Pack-Multis,12,1762,146.8,140,1.4,0,0
